cod_estab,NOM_ESTAB_2013,Dirección_2013,NOM_DEPA_2013,NOM_MUNI_2013,SECTOR_2013,AREA_2013,PLAN_2013,JORNADA_2013,CANTIDAD_EVALUADOS_ESTABLECIMIENTO_2013,RAMA_ABSTRACTA_MAGISTERIO_CANTIDAD_2013,RAMA_ABSTRACTA_BACHILLERATO_CANTIDAD_2013,RAMA_ABSTRACTA_PERITO_CANTIDAD_2013,RAMA_ABSTRACTA_SECRETARIADO_CANTIDAD_2013,RAMA_ABSTRACTA_TECNICO_CANTIDAD_2013,RAMA_ABSTRACTA_MISSING_CANTIDAD_2013,LOGRO_LECTURA_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA,NO_LOGRO_LECTURA_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA,DESEMPEÑO_LECTURA_EXCELENTE_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_LECTURA_SATISFACTORIO_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_LECTURA_DEBE_MEJORAR_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_LECTURA_INSATISFACTORIO_mean_2013_ESTUD_CON_FORMA,LOGRO_LECTURA_ESTABLECIMIENTO_2013_TODOS_ESTUDIANTES,NO_LOGRO_LECTURA_ESTABLECIMIENTO_2013_TODOS_ESTUDIANTES,LOGRO_LEC_NO_IDENTIFICADO_NO_INDICA_FORMA_2013,DESEMPEÑO_LECTURA_EXCELENTE_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_LECTURA_SATISFACTORIO_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_LECTURA_DEBE_MEJORAR_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_LECTURA_INSATISFACTORIO_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_LECTURA_SIN_FORMA_mean_2013_TODOS_ESTUDIANTES,NUM_ALUM_10_EVAL_LECTURA_CANTIDAD_2013,LOGRO_LECTURA_establecimiento_2010,LOGRO_LECTURA_establecimiento_2011,LOGRO_LECTURA_establecimiento_2012,LOGRO_LECTURA_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA_DUPLICADA,LOGRO_LECTURA_NACIONAL_2013,LOGRO_LECTURA_DEPARTAMENTAL_2013,LOGRO_LECTURA_MUNICIPAL_2013,NO_LOGRO_LECTURA_NACIONAL_2013,NO_LOGRO_LECTURA_DEPARTAMENTAL_2013,NO_LOGRO_LECTURA_MUNICIPAL_2013,LC_CUANTOS_LIBROS_COMPLETOS_HA_LEÍDO_2_O_MENOS_mean_2013,LC_CUANTOS_LIBROS_COMPLETOS_HA_LEÍDO_3A6_mean_2013,LC_CUANTOS_LIBROS_COMPLETOS_HA_LEÍDO_MAS6_mean_2013,LC_CUANTOS_LIBROS_COMPLETOS_HA_LEÍDO_NO_INDICÓ_mean_2013,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA,NO_LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA,DESEMPEÑO_MATEMÁTICAS_EXCELENTE_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_MATEMÁTICAS_SATISFACTORIO_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_MATEMÁTICAS_DEBE_MEJORAR_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_MATEMÁTICAS_INSATISFACTORIO_mean_2013_ESTUD_CON_FORMA,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2013_TODOS_ESTUDIANTES,NO_LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2013_TODOS_ESTUDIANTES,LOGRO_MATE_NO_IDENTIFICADO_NO_INDICA_FORMA_2013,DESEMPEÑO_MATEMÁTICAS_EXCELENTE_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_MATEMÁTICAS_SATISFACTORIO_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_MATEMÁTICAS_DEBE_MEJORAR_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_MATEMÁTICAS_INSATISFACT_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_MATEMÁTICAS_SIN_FORMA_mean_2013_TODOS_ESTUDIANTES,NUM_ALUM_10_EVAL_MATEMÁTICAS_CANTIDAD_2013,LOGRO_MATE_establecimiento_2010,LOGRO_MATE_establecimiento_2011,LOGRO_MATE_establecimiento_2012,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA_DUPLICADA,LOGRO_MATEMÁTICAS_DEPARTAMENTAL_2013,LOGRO_MATEMÁTICAS_NACIONAL_2013,LOGRO_MATEMÁTICAS_MUNICIPAL_2013,NO_LOGRO_MATEMÁTICAS_NACIONAL_2013,NO_LOGRO_MATEMÁTICAS_DEPARTAMENTAL_2013,NO_LOGRO_MATEMÁTICAS_MUNICIPAL_2013
06-14-1766-46,COLEGIO DE COMPUTACION  ACCES,ALDEA EL RIACHUELO,SANTA ROSA,NUEVA SANTA ROSA,PRIVADO,RURAL,DIARIO(REGULAR),MATUTINA,27,0,5,17,5,0,0,7.407407,92.592593,3.703704,3.703704,37.037037,55.555556,7.407407,92.592593,0,3.703704,3.703704,37.037037,55.555556,0,1,13.333333,7.692308,26.666667,7.407407,26.033747,17.19482,23.809524,73.966253,82.80518,76.190476,70.37037,22.222222,7.407407,0,0,100,0,0,18.518519,81.481481,0,100,0,0,0,18.518519,81.481481,0,0,0,3.846154,6.666667,0,2.561278,8.019557,4.40367,91.980443,97.438722,95.59633
06-14-1830-46,CENTRO EDUCATIVO NUESTRA SEÑORA DE LA ESPERANZA,CASERIO EL CHILTEPE,SANTA ROSA,NUEVA SANTA ROSA,PRIVADO,RURAL,DIARIO(REGULAR),MATUTINA,1,0,1,0,0,0,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,0,8.695652,15.384615,,0,26.033747,17.19482,23.809524,73.966253,82.80518,76.190476,100,0,0,0,0,100,0,0,0,100,0,100,0,0,0,0,100,0,0,0,0,,0,2.561278,8.019557,4.40367,91.980443,97.438722,95.59633
06-14-1996-46,COLEGIO PARTICULAR MIXTO LA ESPERANZA,,SANTA ROSA,NUEVA SANTA ROSA,PRIVADO,URBANA,DIARIO(REGULAR),VESPERTINA,25,0,23,0,2,0,0,12,88,4,8,16,72,12,88,0,4,8,16,72,0,1,7.142857,0,3.030303,12,26.033747,17.19482,23.809524,73.966253,82.80518,76.190476,52,24,24,0,4,96,0,4,16,80,4,96,0,0,4,16,80,0,0,0,0,3.030303,4,2.561278,8.019557,4.40367,91.980443,97.438722,95.59633
06-14-2044-46,CENTRO EDUCATIVO NUESTRA SEÑORA DE LA ESPERANZA,CASERIO EL CHILTEPE,SANTA ROSA,NUEVA SANTA ROSA,PRIVADO,RURAL,DIARIO(REGULAR),DOBLE,44,44,0,0,0,0,0,36.363636,63.636364,22.727273,13.636364,34.090909,29.545455,36.363636,63.636364,0,22.727273,13.636364,34.090909,29.545455,0,4,23.076923,36.842105,44.444444,36.363636,26.033747,17.19482,23.809524,73.966253,82.80518,76.190476,54.545455,36.363636,9.090909,0,6.976744,93.023256,2.325581,4.651163,32.55814,60.465116,6.818182,90.909091,2.272727,2.272727,4.545455,31.818182,59.090909,2.272727,1,0,0,5.555556,6.976744,2.561278,8.019557,4.40367,91.980443,97.438722,95.59633
07-01-0059-46,"LICEO TECNOLOGICO BILINGUE ""CUAUHTEMALLAN DE SOLOLA""",7 CALLE 3-25 ZONA 1,SOLOLA,SOLOLA,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,19,0,0,5,14,0,0,15.789474,84.210526,10.526316,5.263158,0,84.210526,15.789474,84.210526,0,10.526316,5.263158,0,84.210526,0,2,0,0,10,15.789474,26.033747,13.827839,18.537415,73.966253,86.172161,81.462585,73.684211,26.315789,0,0,15.789474,84.210526,5.263158,10.526316,0,84.210526,15.789474,84.210526,0,5.263158,10.526316,0,84.210526,0,2,0,0,0,15.789474,3.357753,8.019557,5.182668,91.980443,96.642247,94.817332
07-01-0061-46,"LICEO TECNOLOGICO BILINGUE ""CUAUHTEMALLAN DE SOLOLA""","7 CALLE 3-25 ZONA 1, BARRIO SAN ANTONIO",SOLOLA,SOLOLA,PRIVADO,URBANA,DIARIO(REGULAR),DOBLE,58,0,0,58,0,0,0,24.137931,75.862069,8.62069,15.517241,18.965517,56.896552,24.137931,75.862069,0,8.62069,15.517241,18.965517,56.896552,0,2,15.47619,7.5,14.285714,24.137931,26.033747,13.827839,18.537415,73.966253,86.172161,81.462585,50,46.551724,3.448276,0,3.448276,96.551724,1.724138,1.724138,22.413793,74.137931,3.448276,96.551724,0,1.724138,1.724138,22.413793,74.137931,0,0,1.190476,2.564103,4.761905,3.448276,3.357753,8.019557,5.182668,91.980443,96.642247,94.817332
07-01-0096-46,"COLEGIO ""MONTE SION""",6A. AVENIDA 8-07 ZONA 2,SOLOLA,SOLOLA,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,29,18,0,0,11,0,0,3.448276,96.551724,3.448276,0,20.689655,75.862069,3.448276,96.551724,0,3.448276,0,20.689655,75.862069,0,0,20,6.666667,13.043478,3.448276,26.033747,13.827839,18.537415,73.966253,86.172161,81.462585,89.655172,6.896552,3.448276,0,3.448276,96.551724,3.448276,0,13.793103,82.758621,3.448276,96.551724,0,3.448276,0,13.793103,82.758621,0,0,0,0,0,3.448276,3.357753,8.019557,5.182668,91.980443,96.642247,94.817332
07-01-0106-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO SAN ANTONIO,SOLOLA,SOLOLA,OFICIAL,URBANA,DIARIO(REGULAR),VESPERTINA,65,0,65,0,0,0,0,12.307692,87.692308,7.692308,4.615385,24.615385,63.076923,12.307692,87.692308,0,7.692308,4.615385,24.615385,63.076923,0,1,0,6.122449,12.068966,12.307692,26.033747,13.827839,18.537415,73.966253,86.172161,81.462585,50.769231,41.538462,7.692308,0,0,100,0,0,23.076923,76.923077,0,100,0,0,0,23.076923,76.923077,0,0,0,0,3.448276,0,3.357753,8.019557,5.182668,91.980443,96.642247,94.817332
07-01-0121-46,CENTRO EDUCATIVO DE FORMACION PROFESIONAL CEFPRO,"CASERÍO COXOM, ALDEA SAN JUAN ARGUETA",SOLOLA,SOLOLA,PRIVADO,RURAL,FIN DE SEMANA,DOBLE,3,0,2,0,1,0,0,0,100,0,0,0,100,0,100,0,0,0,0,100,0,0,,0,12.5,0,26.033747,13.827839,18.537415,73.966253,86.172161,81.462585,66.666667,33.333333,0,0,0,100,0,0,0,100,0,100,0,0,0,0,100,0,0,,0,0,0,3.357753,8.019557,5.182668,91.980443,96.642247,94.817332
07-01-0124-46,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN,7A. CALLE 3-25 ZONA 1 BARRIO SAN ANTONIO,SOLOLA,SOLOLA,PRIVADO,URBANA,FIN DE SEMANA,DOBLE,28,0,16,8,4,0,0,7.142857,92.857143,0,7.142857,14.285714,78.571429,7.142857,92.857143,0,0,7.142857,14.285714,78.571429,0,1,,,8.333333,7.142857,26.033747,13.827839,18.537415,73.966253,86.172161,81.462585,53.571429,46.428571,0,0,0,100,0,0,14.285714,85.714286,0,100,0,0,0,14.285714,85.714286,0,0,,,4.166667,0,3.357753,8.019557,5.182668,91.980443,96.642247,94.817332
